Country Country,Literacy rate[12][13] [text–source integrity?] Total,Literacy rate[12][13] [text–source integrity?] Male,Literacy rate[12][13] [text–source integrity?] Female,Literacy rate[12][13] [text–source integrity?] Gender gap,Literacy rate[12][13] [text–source integrity?] Year,source_page,table_number
Afghanistan *,37.3%,52.1%,22.6%,29.5%,2021,List_of_countries_by_literacy_rate,2
Albania *,98.1%,98.5%,97.8%,0.7%,2018,List_of_countries_by_literacy_rate,2
Algeria *,81.4%,87.4%,75.3%,12.1%,2018,List_of_countries_by_literacy_rate,2
Andorra *,100.0%,100.0%,100.0%,0.0%,2016,List_of_countries_by_literacy_rate,2
Angola *,71.1%,82.0%,60.7%,21.3%,2015,List_of_countries_by_literacy_rate,2
Antigua and Barbuda *,99.0%,98.4%,99.4%,1.0%,2015,List_of_countries_by_literacy_rate,2
Argentina *,99.0%,98.9%,99.1%,0.2%,2018,List_of_countries_by_literacy_rate,2
Armenia *,99.8%,99.8%,99.7%,0.1%,2020,List_of_countries_by_literacy_rate,2
Australia *,99.0%,,,,,List_of_countries_by_literacy_rate,2
Austria *,98.0%,,,,,List_of_countries_by_literacy_rate,2
Azerbaijan *,99.8%,99.9%,99.7%,0.2%,2019,List_of_countries_by_literacy_rate,2
Bahamas,96.0%,,,,,List_of_countries_by_literacy_rate,2
Bahrain *,97.5%,99.9%,94.9%,5.0%,2018,List_of_countries_by_literacy_rate,2
Bangladesh *,74.66%,76.56%,72.82%,3.72%,2022[14],List_of_countries_by_literacy_rate,2
Barbados *,99.6%,99.6%,99.6%,0.0%,2014,List_of_countries_by_literacy_rate,2
Belarus *,99.9%,99.9%,99.9%,0.0%,2019,List_of_countries_by_literacy_rate,2
Belgium *,99.0%,,,,,List_of_countries_by_literacy_rate,2
Belize *,83.0%,,,,,List_of_countries_by_literacy_rate,2
Benin *,42.4%,54.0%,31.1%,22.9%,2018,List_of_countries_by_literacy_rate,2
Bhutan *,66.6%,75.0%,57.1%,17.9%,2017,List_of_countries_by_literacy_rate,2
Bolivia *,92.5%,96.5%,88.6%,7.9%,2015,List_of_countries_by_literacy_rate,2
Bosnia and Herzegovina *,98.5%,99.5%,97.5%,2.0%,2015,List_of_countries_by_literacy_rate,2
Botswana *,88.5%,88.0%,88.9%,0.9%,2015,List_of_countries_by_literacy_rate,2
Brazil *,93.2%,93.0%,93.4%,0.4%,2018,List_of_countries_by_literacy_rate,2
Brunei *,97.2%,98.1%,93.4%,4.7%,2018,List_of_countries_by_literacy_rate,2
Bulgaria *,98.4%,98.7%,98.1%,0.6%,2015,List_of_countries_by_literacy_rate,2
Burkina Faso *,39.3%,49.2%,31.0%,18.2%,2018,List_of_countries_by_literacy_rate,2
Burundi *,68.4%,76.3%,61.2%,15.1%,2017,List_of_countries_by_literacy_rate,2
Cape Verde *,86.8%,91.7%,82.0%,9.7%,2015,List_of_countries_by_literacy_rate,2
Cambodia *,80.5%,86.5%,75.0%,11.5%,2015,List_of_countries_by_literacy_rate,2
Cameroon *,77.1%,82.6%,71.6%,11.0%,2018,List_of_countries_by_literacy_rate,2
Canada *,99.0%,,,,,List_of_countries_by_literacy_rate,2
Central African Republic *,37.4%,49.5%,25.8%,23.7%,2018,List_of_countries_by_literacy_rate,2
Chad *,22.3%,31.3%,14.0%,17.3%,2016,List_of_countries_by_literacy_rate,2
Chile *,96.3%,96.3%,96.3%,0.0%,2017,List_of_countries_by_literacy_rate,2
China *,96.8%,98.5%,95.2%,3.3%,2018,List_of_countries_by_literacy_rate,2
Colombia *,95.6%,95.4%,95.9%,0.5%,2020,List_of_countries_by_literacy_rate,2
Comoros *,58.8%,64.6%,53.0%,11.6%,2018,List_of_countries_by_literacy_rate,2
Congo *,80.3%,86.1%,74.6%,11.5%,2018,List_of_countries_by_literacy_rate,2
DR Congo *,77.0%,88.5%,66.5%,22.0%,2016,List_of_countries_by_literacy_rate,2
Costa Rica *,97.9%,97.8%,97.9%,0.1%,2018,List_of_countries_by_literacy_rate,2
Ivory Coast *,89.9%,93.1%,86.7%,6.4%,2019,List_of_countries_by_literacy_rate,2
Croatia *,99.3%,99.7%,98.9%,0.8%,2015,List_of_countries_by_literacy_rate,2
Cuba *,99.8%,99.9%,99.8%,0.1%,2015,List_of_countries_by_literacy_rate,2
Cyprus *,99.1%,99.5%,98.7%,0.8%,2015,List_of_countries_by_literacy_rate,2
Czech Republic *,99.0%,99.0%,99.0%,0.0%,2011,List_of_countries_by_literacy_rate,2
Denmark *,99.0%,,,,,List_of_countries_by_literacy_rate,2
Djibouti *,,,,,,List_of_countries_by_literacy_rate,2
Dominica *,92.0%,,,,,List_of_countries_by_literacy_rate,2
Dominican Republic *,93.8%,93.8%,93.8%,0.0%,2016,List_of_countries_by_literacy_rate,2
Ecuador *,93.6%,94.8%,92.5%,2.3%,2020,List_of_countries_by_literacy_rate,2
Egypt *,71.2%,76.5%,65.5%,11.0%,2017,List_of_countries_by_literacy_rate,2
