Location,Population,% of world,Date,Source (official or from the United Nations),Notes,source_page,table_number,Country/Territory Country/Territory,IMF[1][6] Forecast,IMF[1][6] Year,World Bank[7] Estimate,World Bank[7] Year,United Nations[8] Estimate,United Nations[8] Year,Country Country,Youth (15 to 24) Rate,Youth (15 to 24) Year,Adult (25+) Rate,Adult (25+) Year,Elderly (65+) Rate,Elderly (65+) Year,Youth Gender Parity Index Rate,Youth Gender Parity Index Year,Literacy rate[12][13] [text–source integrity?] Total,Literacy rate[12][13] [text–source integrity?] Male,Literacy rate[12][13] [text–source integrity?] Female,Literacy rate[12][13] [text–source integrity?] Gender gap,Literacy rate[12][13] [text–source integrity?] Year,Territory,Literacy rate (all),Male literacy,Female literacy,Gender difference[a],Year,Note
World,8232000000.0,100%,13 Jun 2025,UN projection[1][3],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,1417492000.0,17.3%,1 Jul 2025,Official projection[4],[b],List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,1408280000.0,17.2%,31 Dec 2024,Official estimate[5],[c],List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,340110988.0,4.1%,1 Jul 2024,Official estimate[6],[d],List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,284438782.0,3.5%,30 Jun 2025,National annual projection[7],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,241499431.0,2.9%,1 Mar 2023,2023 census result[8],[e],List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,223800000.0,2.7%,1 Jul 2023,Official projection[9],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,212583750.0,2.6%,1 Jul 2024,Official projection[10],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,169828911.0,2.1%,14 Jun 2022,2022 census result[11],[f],List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,146028325.0,1.8%,1 Jan 2025,Official estimate[13],[g],List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,130417144.0,1.6%,31 Mar 2025,National quarterly estimate[14],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,123360000.0,1.5%,1 Jun 2025,Monthly national estimate[15],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,114123600.0,1.4%,1 Jul 2025,Official projection[16],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,112832000.0,1.4%,1 Jul 2025,UN projection[17],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,111652998.0,1.4%,1 Jul 2025,National annual projection[18],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,107271260.0,1.3%,1 Jan 2025,Official estimate[19],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,101343800.0,1.2%,31 Dec 2024,Official estimate[20],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,85961000.0,1.0%,20 Mar 2024,Official estimate[21],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,85664944.0,1.0%,31 Dec 2024,Official estimate[22],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,83577140.0,1.0%,31 Dec 2024,National quarterly estimate[23],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,68668000.0,0.8%,1 Jul 2025,Monthly national estimate[24],[h],List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,68265209.0,0.8%,1 Jul 2023,Official estimate[25],[i],List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,68153004.0,0.8%,1 Jul 2025,Official projection[26],[j],List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,65870610.0,0.8%,30 Jun 2025,Monthly national estimate[27],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,63100945.0,0.8%,30 Jun 2025,Official estimate[28],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,58919837.0,0.7%,31 May 2025,Monthly national estimate[29],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,53330978.0,0.7%,1 Jul 2025,Official projection[30],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,52695952.0,0.6%,1 Jan 2024,Official projection[31],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,51662000.0,0.6%,1 Jul 2025,UN projection[32],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,51316756.0,0.6%,15 Oct 2024,Provisional 2024 census result[33],[k],List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,51164582.0,0.6%,30 Jun 2025,Monthly national estimate[35],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,49315949.0,0.6%,1 Jul 2025,National quarterly estimate[36],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,47400000.0,0.6%,1 Jan 2025,National annual projection[37],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,47067641.0,0.6%,1 Jul 2024,National annual projection[38],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,46118793.0,0.6%,24 Feb 2025,2024 census result[39],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,45905417.0,0.6%,10 May 2024,2024 census result[40],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,43844000.0,0.5%,1 Jul 2025,UN projection[41][42] (see note),[l],List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,41548787.0,0.5%,1 Apr 2025,National quarterly estimate[49],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,37860975.0,0.5%,1 Jul 2025,Official estimate[50],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,37412000.0,0.5%,31 May 2025,Monthly national estimate[51],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,36828330.0,0.4%,1 Sep 2024,2024 census result[52],[m],List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,36170961.0,0.4%,1 Jul 2025,National annual projection[53],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,35300280.0,0.4%,1 Jul 2024,Official estimate[54],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,34350244.0,0.4%,1 Jul 2025,National annual projection[55],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,34231700.0,0.4%,30 Jun 2025,National quarterly estimate[56],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,34090466.0,0.4%,1 Jul 2025,National annual projection[57],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,33742380.0,0.4%,1 Jul 2025,National annual projection[58],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,32862000.0,0.4%,1 Apr 2025,IMF estimate[59],[n],List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yemen,32684503.0,0.4%,1 Jul 2023,Official estimate[60],,List_of_countries_and_dependencies_by_population,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
